"Date","Close","1DayPercentMove","2DayPercentMove","3DayPercentMove","4DayPercentMove","5DayPercentMove","6DayPercentMove","7DayPercentMove","8DayPercentMove","9DayPercentMove","10DayPercentMove","11DayPercentMove","12DayPercentMove","13DayPercentMove","14DayPercentMove","15DayPercentMove","16DayPercentMove","17DayPercentMove","18DayPercentMove","19DayPercentMove","20DayPercentMove","50DayPercentMove","100DayPercentMove","200DayPercentMove","10DayAutoCor","20DayAutoCor","50DayAutoCor","100DayAutoCor","1DayATR","2DayATR","5DayATR","10DayATR","20DayATR","50DayATR","100DayATR","1DayMAD","2DayMAD","3DayMAD","5DayMAD","10DayMAD","20DayMAD","50DayMAD","100DayMAD","200DayMAD","20DayMA","50DayMA","100DayMA","20DayDMA","50DayDMA","100DayDMA"
2014-08-26,1998.5,0.1754,0.5408,0.4524,0.7689,1.075,1.576,2.356,2.304,2.764,3.522,3.415,3.886,4.894,4.374,4.469,3.442,4.17,3.832,1.705,1.808,3.202,6.134,14.51,-0.5953,0.8812,0.9889,0.9901,10.75,12.625,39.375,78,77.875,132,177.5,0.558,1.304,1.402,1.336,1.528,2.6,7.616,13.77,20.236,1950.475,1957.955,1921.9075,2.4622,2.0708,3.9852
2014-08-25,1995,0.3647,0.2765,0.5925,0.8977,1.398,2.177,2.124,2.584,3.341,3.234,3.704,4.711,4.191,4.286,3.261,3.988,3.65,1.527,1.63,1.115,3.061,5.948,13,-0.504,0.9202,0.9803,0.9922,10.5,18.625,38.5,82.75,76.375,130.5,176,0.666,1.368,1.586,1.1,1.606,2.674,7.804,13.894,20.412,1948.7,1956.715,1920.7525,2.3759,1.9566,3.8655
2014-08-22,1987.75,-0.08796,0.2269,0.531,1.029,1.805,1.753,2.211,2.966,2.859,3.327,4.33,3.812,3.907,2.886,3.61,3.273,1.158,1.261,0.7476,0.8242,2.966,5.858,13.16,-0.5904,0.9392,0.991,0.9928,10.625,14.5,37,79,72.5,126.625,172.125,0.762,1.154,1.366,1.17,1.53,2.678,7.494,13.808,20.292,1947.6,1955.53,1919.6325,2.0615,1.6476,3.5485
2014-08-21,1989.5,0.3151,0.6195,1.118,1.895,1.843,2.301,3.056,2.95,3.418,4.422,3.904,3.999,2.976,3.701,3.364,1.247,1.35,0.8363,0.913,0.4418,2.34,6.704,12.85,-0.7795,0.9491,0.9727,0.993,12.125,21.5,59.75,91.375,75.625,126.625,172.125,0.794,1.19,1.464,1.422,1.756,2.84,7.394,13.874,20.744,1946.7875,1954.385,1918.5325,2.194,1.7967,3.6991
2014-08-20,1983.25,0.3034,0.8005,1.575,1.523,1.98,2.732,2.626,3.093,4.094,3.578,3.672,2.653,3.375,3.039,0.9288,1.032,0.5195,0.596,0.1262,0.1262,1.679,7.174,13.02,-0.6544,0.9492,0.9319,0.9928,12.25,24.75,52.5,89.25,71.5,123.625,169.125,0.806,1,1.44,1.048,1.63,2.736,7.538,13.368,20.398,1946.35,1953.475,1917.2825,1.8959,1.5242,3.4407
2014-08-19,1977.25,0.4956,1.268,1.216,1.671,2.422,2.316,2.781,3.779,3.264,3.359,2.342,3.062,2.728,0.6234,0.7259,0.2154,0.2917,-0.1767,-0.1767,0.1139,1.384,7.43,12.92,-0.6915,0.9384,0.9174,0.987,12.375,23.875,49.875,83.875,69.875,123.5,169,0.818,1.188,1.442,1.04,1.726,2.836,7.53,13.302,20.956,1946.225,1952.82,1915.955,1.5941,1.251,3.1992
2014-08-18,1967.5,0.7682,0.7167,1.17,1.917,1.811,2.274,3.267,2.755,2.849,1.838,2.554,2.221,0.1272,0.2292,-0.2788,-0.2029,-0.6689,-0.6689,-0.3798,0.06357,0.9363,6.784,11.76,-0.3802,0.8958,0.9268,0.9789,18.5,28,48.125,77.125,68.75,120.875,169,0.728,0.948,1.43,0.778,1.466,2.672,7.13,13.222,20.612,1946.1125,1952.28,1914.5875,1.099,0.7796,2.7637
2014-08-15,1952.5,-0.05119,0.3985,1.14,1.035,1.494,2.48,1.972,2.065,1.061,1.772,1.442,-0.6361,-0.5349,-1.039,-0.9637,-1.426,-1.426,-1.139,-0.6993,-0.9637,0.7222,5.015,10.47,-0.0496,0.768,0.9514,0.9731,18.375,23.375,42.5,73.125,68.75,116.5,169,0.698,1.21,1.024,0.87,1.722,2.472,7.204,13.118,20.566,1946.05,1951.915,1913.3375,0.3314,0.03,2.0468
2014-08-14,1953.5,0.4499,1.191,1.087,1.546,2.532,2.024,2.117,1.113,1.824,1.494,-0.5852,-0.484,-0.9883,-0.913,-1.376,-1.376,-1.089,-0.6484,-0.913,0,1.441,5.623,11.06,-0.1068,0.6625,0.9548,0.9792,14.375,21,51.25,63.5,68.75,109.625,169,0.66,0.874,1.116,1.06,1.594,2.4,7.128,12.876,20.436,1947,1951.635,1912.405,0.3338,0.0956,2.1489
2014-08-13,1944.75,0.7382,0.6339,1.092,2.073,1.567,1.66,0.6599,1.368,1.039,-1.03,-0.9297,-1.432,-1.357,-1.818,-1.818,-1.532,-1.094,-1.357,-0.4479,-1.519,1.184,4.725,10.88,0.5019,0.7784,0.9741,0.9832,15.5,36.875,59.375,59.25,68.75,108.25,169,0.61,1.42,1.12,0.952,1.612,2.268,7.188,12.66,20.66,1947,1951.08,1911.365,-0.1156,-0.3244,1.7467
2014-08-12,1930.5,-0.1035,0.3509,1.325,0.8226,0.9148,-0.07764,0.6255,0.2987,-1.756,-1.656,-2.154,-2.08,-2.537,-2.537,-2.253,-1.818,-2.08,-1.177,-2.241,-1.906,0.4553,3.029,10.41,0.2997,0.65,0.9796,0.9695,16.5,27.875,58.75,63.625,71.25,108.25,169,0.49,1.012,0.904,0.92,1.62,1.87,6.654,12.566,20.456,1948.5,1950.625,1910.4875,-0.9238,-1.0317,1.0475
2014-08-11,1932.5,0.4548,1.43,0.927,1.019,0.02588,0.7297,0.4026,-1.654,-1.554,-2.053,-1.978,-2.436,-2.436,-2.152,-1.716,-1.978,-1.075,-2.14,-1.804,-1.953,0.5725,3.912,10.95,0.2899,0.6888,0.9679,0.9736,27.875,38.375,60,66.25,73.625,107.25,169,0.576,1.274,1.06,0.79,1.772,2.088,6.52,12.308,20.118,1950.375,1950.45,1909.92,-0.9165,-0.9203,1.1822
2014-08-08,1923.75,0.971,0.47,0.5619,-0.427,0.2736,-0.05196,-2.099,-1.999,-2.496,-2.422,-2.878,-2.878,-2.595,-2.161,-2.422,-1.523,-2.583,-2.248,-2.397,-1.974,0.2998,2.833,9.96,0.1603,0.6171,0.9791,0.9602,32,34.125,58.25,66.25,73.625,105.125,169,0.514,0.996,1.14,0.892,1.66,1.816,6.564,12.37,19.8,1952.3,1950.23,1909.1925,-1.4624,-1.3578,0.7625
