"V1","V2","V3","V4","V5","V6","V7","V8","V9"
"Independent","","x%","Dependent","","y%","prob","X","N"
"2 Day Percent Move","<","-5","9DayPercentMove",">","1","0.6667","32","48"
"2 Day Percent Move","<","-5","10DayPercentMove",">","1","0.6667","32","48"
"2 Day Percent Move","<","-5","12DayPercentMove",">","1","0.7292","35","48"
"2 Day Percent Move","<","-5","12DayPercentMove",">","2","0.7292","35","48"
"2 Day Percent Move","<","-5","12DayPercentMove",">","3","0.6667","32","48"
"2 Day Percent Move","<","-5","13DayPercentMove",">","1","0.7292","35","48"
"2 Day Percent Move","<","-5","13DayPercentMove",">","2","0.7083","34","48"
"2 Day Percent Move","<","-5","14DayPercentMove",">","1","0.7292","35","48"
"2 Day Percent Move","<","-5","14DayPercentMove",">","2","0.6667","32","48"
"2 Day Percent Move",">","5","15DayPercentMove",">","1","0.6667","24","36"
"2 Day Percent Move","<","-5","15DayPercentMove",">","1","0.7083","34","48"
"2 Day Percent Move","<","-5","17DayPercentMove",">","1","0.6667","32","48"
"2 Day Percent Move","<","-5","18DayPercentMove",">","1","0.6875","33","48"
"2 Day Percent Move",">","5","19DayPercentMove",">","1","0.6667","24","36"
"2 Day Percent Move","<","-5","19DayPercentMove",">","1","0.6667","32","48"
"4 Day Percent Move","<","-7","3DayPercentMove",">","1","0.6765","23","34"
"4 Day Percent Move","<","-7","5DayPercentMove",">","1","0.7059","24","34"
"4 Day Percent Move","<","-7","5DayPercentMove",">","2","0.6765","23","34"
"4 Day Percent Move","<","-7","6DayPercentMove",">","1","0.6765","23","34"
"4 Day Percent Move","<","-7","7DayPercentMove",">","1","0.7059","24","34"
"4 Day Percent Move","<","-7","7DayPercentMove",">","2","0.6765","23","34"
"4 Day Percent Move","<","-7","9DayPercentMove",">","1","0.7353","25","34"
"4 Day Percent Move","<","-7","10DayPercentMove",">","1","0.7059","24","34"
"4 Day Percent Move","<","-7","12DayPercentMove",">","1","0.7059","24","34"
"4 Day Percent Move","<","-7","12DayPercentMove",">","2","0.7059","24","34"
"4 Day Percent Move","<","-7","13DayPercentMove",">","1","0.7059","24","34"
"4 Day Percent Move","<","-7","13DayPercentMove",">","2","0.6765","23","34"
"4 Day Percent Move","<","-7","14DayPercentMove",">","1","0.7059","24","34"
"4 Day Percent Move","<","-7","14DayPercentMove",">","2","0.6765","23","34"
"4 Day Percent Move","<","-7","14DayPercentMove",">","3","0.6765","23","34"
"4 Day Percent Move","<","-7","15DayPercentMove",">","1","0.6765","23","34"
"4 Day Percent Move","<","-7","16DayPercentMove",">","1","0.6765","23","34"
"4 Day Percent Move","<","-7","16DayPercentMove",">","2","0.6765","23","34"
"4 Day Percent Move","<","-7","16DayPercentMove",">","3","0.6765","23","34"
"4 Day Percent Move","<","-7","17DayPercentMove",">","1","0.6765","23","34"
"4 Day Percent Move","<","-7","18DayPercentMove",">","1","0.6765","23","34"
"4 Day Percent Move","<","-7","18DayPercentMove",">","2","0.6765","23","34"
"4 Day Percent Move","<","-7","18DayPercentMove",">","3","0.6765","23","34"
"4 Day Percent Move","<","-7","19DayPercentMove",">","1","0.6765","23","34"
"5 Day Percent Move","<","-7","9DayPercentMove",">","1","0.6957","32","46"
"5 Day Percent Move",">","7","13DayPercentMove",">","1","0.6571","23","35"
"5 Day Percent Move","<","-7","15DayPercentMove",">","1","0.6522","30","46"
"5 Day Percent Move","<","-7","17DayPercentMove",">","1","0.6739","31","46"
"5 Day Percent Move","<","-7","18DayPercentMove",">","1","0.6957","32","46"
"5 Day Percent Move","<","-7","19DayPercentMove",">","1","0.6739","31","46"
"6 Day Percent Move","<","-8","4DayPercentMove",">","1","0.6585","27","41"
"6 Day Percent Move","<","-8","5DayPercentMove",">","1","0.6585","27","41"
"6 Day Percent Move","<","-8","6DayPercentMove",">","1","0.6829","28","41"
"6 Day Percent Move","<","-8","9DayPercentMove",">","1","0.6585","27","41"
"6 Day Percent Move","<","-8","10DayPercentMove",">","1","0.6585","27","41"
"6 Day Percent Move","<","-8","12DayPercentMove",">","1","0.6585","27","41"
"6 Day Percent Move","<","-8","12DayPercentMove",">","2","0.6585","27","41"
"6 Day Percent Move","<","-8","13DayPercentMove",">","1","0.6585","27","41"
"6 Day Percent Move","<","-7","14DayPercentMove",">","1","0.6522","45","69"
"6 Day Percent Move","<","-8","14DayPercentMove",">","1","0.7073","29","41"
"6 Day Percent Move","<","-8","14DayPercentMove",">","2","0.6585","27","41"
"6 Day Percent Move","<","-7","15DayPercentMove",">","1","0.6522","45","69"
"6 Day Percent Move","<","-8","15DayPercentMove",">","1","0.7561","31","41"
"6 Day Percent Move","<","-8","15DayPercentMove",">","2","0.6585","27","41"
"6 Day Percent Move","<","-8","16DayPercentMove",">","1","0.7073","29","41"
"6 Day Percent Move","<","-8","16DayPercentMove",">","2","0.6829","28","41"
"6 Day Percent Move","<","-8","16DayPercentMove",">","3","0.6829","28","41"
"6 Day Percent Move","<","-7","17DayPercentMove",">","1","0.6812","47","69"
"6 Day Percent Move","<","-8","17DayPercentMove",">","1","0.7561","31","41"
"6 Day Percent Move","<","-8","17DayPercentMove",">","2","0.7073","29","41"
"6 Day Percent Move","<","-8","17DayPercentMove",">","3","0.6585","27","41"
"6 Day Percent Move","<","-7","18DayPercentMove",">","1","0.6957","48","69"
"6 Day Percent Move","<","-8","18DayPercentMove",">","1","0.7317","30","41"
"6 Day Percent Move","<","-8","18DayPercentMove",">","2","0.6829","28","41"
"6 Day Percent Move","<","-8","18DayPercentMove",">","3","0.6585","27","41"
"6 Day Percent Move","<","-7","19DayPercentMove",">","1","0.6957","48","69"
"6 Day Percent Move","<","-8","19DayPercentMove",">","1","0.7073","29","41"
"6 Day Percent Move","<","-8","19DayPercentMove",">","2","0.6829","28","41"
"6 Day Percent Move","<","-8","19DayPercentMove",">","3","0.6585","27","41"
"6 Day Percent Move","<","-7","20DayPercentMove",">","1","0.6667","46","69"
"6 Day Percent Move","<","-8","20DayPercentMove",">","1","0.6829","28","41"
"7 Day Percent Move","<","-8","15DayPercentMove",">","1","0.6667","36","54"
"7 Day Percent Move","<","-9","15DayPercentMove",">","1","0.6923","27","39"
"7 Day Percent Move","<","-9","16DayPercentMove",">","1","0.6667","26","39"
"7 Day Percent Move","<","-9","16DayPercentMove",">","2","0.6667","26","39"
"7 Day Percent Move","<","-9","16DayPercentMove",">","3","0.6667","26","39"
"7 Day Percent Move","<","-7","17DayPercentMove",">","1","0.6543","53","81"
"7 Day Percent Move","<","-8","17DayPercentMove",">","1","0.6852","37","54"
"7 Day Percent Move","<","-8","17DayPercentMove",">","2","0.6667","36","54"
"7 Day Percent Move","<","-9","17DayPercentMove",">","1","0.7179","28","39"
"7 Day Percent Move","<","-9","17DayPercentMove",">","2","0.6923","27","39"
"7 Day Percent Move","<","-7","18DayPercentMove",">","1","0.6667","54","81"
"7 Day Percent Move","<","-9","18DayPercentMove",">","1","0.6667","26","39"
"7 Day Percent Move","<","-7","19DayPercentMove",">","1","0.6543","53","81"
"7 Day Percent Move","<","-9","19DayPercentMove",">","1","0.6667","26","39"
"7 Day Percent Move","<","-6","20DayPercentMove",">","1","0.6529","79","121"
"7 Day Percent Move","<","-7","20DayPercentMove",">","1","0.6543","53","81"
"8 Day Percent Move","<","-9","9DayPercentMove",">","1","0.6667","30","45"
"8 Day Percent Move","<","-10","9DayPercentMove",">","1","0.6765","23","34"
"8 Day Percent Move","<","-10","12DayPercentMove",">","1","0.6765","23","34"
"8 Day Percent Move","<","-10","12DayPercentMove",">","2","0.6765","23","34"
"8 Day Percent Move","<","-8","14DayPercentMove",">","1","0.6825","43","63"
"8 Day Percent Move","<","-9","14DayPercentMove",">","1","0.6667","30","45"
"8 Day Percent Move","<","-10","14DayPercentMove",">","1","0.7059","24","34"
"8 Day Percent Move","<","-7","15DayPercentMove",">","1","0.6907","67","97"
"8 Day Percent Move","<","-8","15DayPercentMove",">","1","0.7302","46","63"
"8 Day Percent Move","<","-8","15DayPercentMove",">","2","0.6508","41","63"
"8 Day Percent Move","<","-9","15DayPercentMove",">","1","0.6889","31","45"
"8 Day Percent Move","<","-10","15DayPercentMove",">","1","0.7353","25","34"
"8 Day Percent Move","<","-7","16DayPercentMove",">","1","0.6701","65","97"
"8 Day Percent Move","<","-8","16DayPercentMove",">","1","0.6984","44","63"
"8 Day Percent Move","<","-8","16DayPercentMove",">","2","0.6667","42","63"
"8 Day Percent Move","<","-8","16DayPercentMove",">","3","0.6508","41","63"
"8 Day Percent Move","<","-9","16DayPercentMove",">","1","0.6667","30","45"
"8 Day Percent Move","<","-9","16DayPercentMove",">","2","0.6667","30","45"
"8 Day Percent Move","<","-9","16DayPercentMove",">","3","0.6667","30","45"
"8 Day Percent Move","<","-10","16DayPercentMove",">","1","0.6765","23","34"
